,plot,biome,total_richness,native_richness,non_native_richness,relative_non_native_native_proportion,state,latitude,longitude
1,NSABHC0001,Desert shrublands,66,63,3,0.045454545,NSW,-31.89335056,141.4337544
2,NSABHC0002,Desert shrublands,75,68,7,0.093333333,NSW,-31.92702694,141.4329608
3,NSABHC0003,Desert shrublands,69,61,8,0.115942029,NSW,-31.82872083,141.4340336
4,NSABHC0004,Desert shrublands,109,86,23,0.201834862,NSW,-31.84727889,141.9480675
5,NSABHC0005,Desert shrublands,63,55,8,0.111111111,NSW,-31.84495778,141.9404978
6,NSABHC0006,Desert shrublands,67,63,4,0.044776119,NSW,-31.88420833,141.7823089
7,NSABHC0007,Desert shrublands,102,91,11,0.098039216,NSW,-31.90113361,141.7644319
8,NSABHC0008,Desert shrublands,91,81,10,0.10989011,NSW,-31.88592167,141.52881
9,NSABHC0009,Desert shrublands,107,103,4,0.018691589,NSW,-31.08023472,141.6973686
10,NSABHC0009,Desert shrublands,91,87,4,0.043956044,NSW,-31.08023472,141.6973686
11,NSABHC0010,Desert shrublands,69,61,8,0.101449275,NSW,-31.07671806,141.7003097
12,NSABHC0011,Desert shrublands,66,62,4,0.045454545,NSW,-31.02531611,141.6780775
13,NSABHC0012,Desert shrublands,90,86,4,0.033333333,NSW,-31.07956667,141.7411103
14,NSABHC0012,Desert shrublands,81,74,7,0.086419753,NSW,-31.07956667,141.7411103
15,NSABHC0013,Desert shrublands,68,56,12,0.176470588,NSW,-31.32391889,141.6008031
16,NSABHC0014,Desert shrublands,83,70,13,0.156626506,NSW,-31.33115333,141.5914625
17,NSABHC0015,Desert shrublands,61,57,4,0.06557377,NSW,-31.83394,141.05925
18,NSABHC0016,Desert shrublands,43,38,5,0.11627907,NSW,-31.83403472,141.0614425
19,NSABHC0017,Desert shrublands,45,42,3,0.066666667,NSW,-31.84330972,141.1926289
20,NSABHC0018,Desert shrublands,34,33,1,0.029411765,NSW,-32.249087,142.0537
21,NSABHC0019,Desert shrublands,29,28,1,0.034482759,NSW,-32.514855,141.549646
22,NSABHC0020,Desert shrublands,72,70,2,0.027777778,NSW,-32.264805,141.500681
23,NSABHC0021,Desert shrublands,72,63,9,0.125,NSW,-32.120072,141.868274
24,NSABHC0022,Desert shrublands,64,61,3,0.046875,NSW,-30.666082,142.472433
25,NSABHC0023,Desert shrublands,7,7,0,0,NSW,-31.34395,142.1365528
26,NSABHC0024,Desert shrublands,83,78,5,0.060240964,NSW,-31.34679167,142.1485167
27,NSABHC0025,Desert shrublands,65,61,4,0.046153846,NSW,-32.420531,141.535447
28,NSABHC0026,Desert shrublands,104,92,12,0.105769231,NSW,-31.778032,142.268019
29,NSABHC0028,Desert shrublands,55,48,7,0.109090909,NSW,-31.06597778,141.717325
30,NSABHC0029,Desert shrublands,61,52,9,0.163934426,NSW,-31.06216667,141.6694028
31,NSACHC0001,Desert shrublands,30,29,1,0,NSW,-29.44538611,142.2647556
32,NSACHC0002,Desert shrublands,38,38,0,0,NSW,-29.30673333,142.1805611
33,NSACHC0003,Desert shrublands,18,18,0,0,NSW,-29.21308611,141.8954778
34,NSACHC0004,Desert shrublands,20,20,0,0,NSW,-29.06618333,141.8645194
35,NSAMDD0001,Mediterranean woodlands,28,26,2,0.035714286,NSW,-34.18391944,142.560225
36,NSAMDD0002,Mediterranean woodlands,32,32,0,0,NSW,-34.20481667,142.6025889
37,NSAMDD0003,Mediterranean woodlands,34,33,1,0.029411765,NSW,-34.20754167,142.6040639
38,NSAMDD0004,Mediterranean woodlands,45,44,1,0.022222222,NSW,-34.16536667,142.5594
39,NSAMDD0005,Mediterranean woodlands,50,45,5,0.1,NSW,-33.65619444,143.2038667
40,NSAMDD0006,Mediterranean woodlands,28,23,5,0.178571429,NSW,-33.66431944,143.1665361
41,NSAMDD0007,Mediterranean woodlands,35,35,0,0,NSW,-33.37998056,141.1608111
42,NSAMDD0008,Mediterranean woodlands,43,42,1,0.023255814,NSW,-33.43096111,141.0720306
43,NSAMDD0009,Mediterranean woodlands,38,38,0,0,NSW,-33.44049444,141.0655222
44,NSAMDD0010,Mediterranean woodlands,42,33,9,0.19047619,NSW,-33.40760278,141.2934722
45,NSAMDD0011,Mediterranean woodlands,33,33,0,0,NSW,-33.43881944,141.012675
46,NSAMDD0012,Mediterranean woodlands,4,4,0,0,NSW,-33.26316111,141.2662444
47,NSAMDD0013,Mediterranean woodlands,79,76,3,0.037974684,NSW,-33.23765278,141.1064667
48,NSAMDD0014,Mediterranean woodlands,27,27,0,0,NSW,-33.16793889,141.1918167
49,NSAMDD0015,Mediterranean woodlands,53,53,0,0,NSW,-33.31182222,141.0900639
50,NSAMDD0016,Mediterranean woodlands,51,47,4,0.078431373,NSW,-33.28228889,141.0898083
51,NSAMDD0017,Mediterranean woodlands,36,33,3,0.055555556,NSW,-33.66876389,145.5663833
52,NSAMDD0018,Mediterranean woodlands,49,49,0,0,NSW,-33.56723333,145.7840083
53,NSAMDD0019,Mediterranean woodlands,40,37,3,0.075,NSW,-33.19214722,145.6993694
54,NSAMDD0020,Mediterranean woodlands,34,30,4,0.088235294,NSW,-33.20680278,145.7085583
55,NSAMDD0021,Mediterranean woodlands,55,48,7,0.109090909,NSW,-33.20083611,145.7171861
56,NSAMDD0022,Mediterranean woodlands,40,40,0,0,NSW,-33.22522222,145.7601722
57,NSAMDD0023,Mediterranean woodlands,50,46,4,0.08,NSW,-32.69009167,144.6497778
